party_std,party_display_name,party_family,bloc,color,aliases,valid_from,valid_to,comparability_note
Mov.Soc.Cristiano,Mov.Soc.Cristiano,altro,altro,#64748b,Mov.Soc.Cristiano,1946,,heuristic_party_parse
PSI,PSI,sinistra socialista,centro-sinistra,#ec407a,Psi,1946,,heuristic_party_parse
P.Naz.Monarchico,P.Naz.Monarchico,altro,altro,#64748b,P.Naz.Monarchico,1946,,heuristic_party_parse
Pli,Pli,altro,altro,#64748b,Pli,1946,,heuristic_party_parse
Unita'Popolare,Unita'Popolare,altro,altro,#64748b,Unita'Popolare,1946,,heuristic_party_parse
Ps d'Az.,Ps d'Az.,altro,altro,#64748b,Ps d'Az.,1946,,heuristic_party_parse
Un.Social.Indip.,Un.Social.Indip.,altro,altro,#64748b,Un.Social.Indip.,1946,,heuristic_party_parse
P.Nettista Italiano,P.Nettista Italiano,altro,altro,#64748b,P.Nettista Italiano,1946,,heuristic_party_parse
Un.Naz.Dem.Imp.Pub.,Un.Naz.Dem.Imp.Pub.,altro,altro,#64748b,Un.Naz.Dem.Imp.Pub.,1946,,heuristic_party_parse
Movim.Aut.Reg.-M.A.R.P.,Movim.Aut.Reg.-M.A.R.P.,altro,altro,#64748b,Movim.Aut.Reg.-M.A.R.P.,1946,,heuristic_party_parse
P.Monarchico Pop.,P.Monarchico Pop.,altro,altro,#64748b,P.Monarchico Pop.,1946,,heuristic_party_parse
Pri-P.Rad.,Pri-P.Rad.,altro,altro,#64748b,Pri-P.Rad.,1946,,heuristic_party_parse
Conc.Europea Democ.,Conc.Europea Democ.,altro,altro,#64748b,Conc.Europea Democ.,1946,,heuristic_party_parse
P.Nazionale Lavoro,P.Nazionale Lavoro,altro,altro,#64748b,P.Nazionale Lavoro,1946,,heuristic_party_parse
Comunita',Comunita',altro,altro,#64748b,Comunita',1946,,heuristic_party_parse
Conc.Unita'Rurale,Conc.Unita'Rurale,altro,altro,#64748b,Conc.Unita'Rurale,1946,,heuristic_party_parse
M.Comb.It-Fr.Rin.Naz,M.Comb.It-Fr.Rin.Naz,altro,altro,#64748b,M.Comb.It-Fr.Rin.Naz,1946,,heuristic_party_parse
Pdium,Pdium,altro,altro,#64748b,Pdium,1946,,heuristic_party_parse
Papi,Papi,altro,altro,#64748b,Papi,1946,,heuristic_party_parse
Mov.Pol.Catt.It.,Mov.Pol.Catt.It.,altro,altro,#64748b,Mov.Pol.Catt.It.,1946,,heuristic_party_parse
Psu,Psu,altro,altro,#64748b,Psu,1946,,heuristic_party_parse
Ppst,Ppst,altro,altro,#64748b,Ppst,1946,,heuristic_party_parse
Nuova Repubblica,Nuova Repubblica,altro,altro,#64748b,Nuova Repubblica,1946,,heuristic_party_parse
Part.Mon.Naz.,Part.Mon.Naz.,altro,altro,#64748b,Part.Mon.Naz.,1946,,heuristic_party_parse
"Rag.Vol.""T","Rag.Vol.""T",altro,altro,#64748b,"Rag.Vol.""T",1946,,heuristic_party_parse
P.Rad,P.Rad,altro,altro,#64748b,P.Rad,1946,,heuristic_party_parse
Manifesto,Manifesto,altro,altro,#64748b,Manifesto,1946,,heuristic_party_parse
Mov.Pol.Lav.,Mov.Pol.Lav.,altro,altro,#64748b,Mov.Pol.Lav.,1946,,heuristic_party_parse
Pc(Marx-Len)It,Pc(Marx-Len)It,altro,altro,#64748b,Pc(Marx-Len)It,1946,,heuristic_party_parse
Un.Forze Dem.,Un.Forze Dem.,altro,altro,#64748b,Un.Forze Dem.,1946,,heuristic_party_parse
Dem.Prol,Dem.Prol,altro,altro,#64748b,Dem.Prol,1946,,heuristic_party_parse
Msi-Dn,Msi-Dn,altro,altro,#64748b,Msi-Dn,1946,,heuristic_party_parse
Poe,Poe,altro,altro,#64748b,Poe,1946,,heuristic_party_parse
Nuova Sin.Unita,Nuova Sin.Unita,altro,altro,#64748b,Nuova Sin.Unita,1946,,heuristic_party_parse
Dn-Cd,Dn-Cd,altro,altro,#64748b,Dn-Cd,1946,,heuristic_party_parse
Pdup,Pdup,altro,altro,#64748b,Pdup,1946,,heuristic_party_parse
Part.Crist.Az.Soc.,Part.Crist.Az.Soc.,altro,altro,#64748b,Part.Crist.Az.Soc.,1946,,heuristic_party_parse
Partito Popolare Italiano,Partito Popolare Italiano,altro,altro,#64748b,Partito Popolare Italiano,1946,,heuristic_party_parse
Lista Per Trieste,Lista Per Trieste,altro,altro,#64748b,Lista Per Trieste,1946,,heuristic_party_parse
Part.Naz.Pens.,Part.Naz.Pens.,altro,altro,#64748b,Part.Naz.Pens.,1946,,heuristic_party_parse
Viv.Lib.,Viv.Lib.,altro,altro,#64748b,Viv.Lib.,1946,,heuristic_party_parse
Liga Veneta-Pu,Liga Veneta-Pu,altro,altro,#64748b,Liga Veneta-Pu,1946,,heuristic_party_parse
Lega,Lega,regionalista,centro-destra,#2e7d32,Lega Lombarda,1946,,heuristic_party_parse
Lista Verde,Lista Verde,altro,altro,#64748b,Lista Verde,1946,,heuristic_party_parse
All.Pop.,All.Pop.,altro,altro,#64748b,All.Pop.,1946,,heuristic_party_parse
Mov.Lib.Fiscale,Mov.Lib.Fiscale,altro,altro,#64748b,Mov.Lib.Fiscale,1946,,heuristic_party_parse
Mov.Naz.It.Cacc.,Mov.Naz.It.Cacc.,altro,altro,#64748b,Mov.Naz.It.Cacc.,1946,,heuristic_party_parse
All.Um.,All.Um.,altro,altro,#64748b,All.Um.,1946,,heuristic_party_parse
Partito Pensionati,Partito Pensionati,altro,altro,#64748b,Partito Pensionati,1946,,heuristic_party_parse
Mov.Pol.Dif.Automob.,Mov.Pol.Dif.Automob.,altro,altro,#64748b,Mov.Pol.Dif.Automob.,1946,,heuristic_party_parse
Alleanza Lombarda Autonomia,Alleanza Lombarda Autonomia,altro,altro,#64748b,Alleanza Lombarda Autonomia,1946,,heuristic_party_parse
