normalized_name,normalized_province,geometry_id,province,province_code
cavaria con premezzo,varese,012048,Varese,12
cavenago d adda,lodi,098017,Lodi,98
cavenago di brianza,monza e brianza,108017,Monza e Brianza,108
cavernago,bergamo,016066,Bergamo,16
cavriana,mantova,020018,Mantova,20
cazzago brabbia,varese,012049,Varese,12
cazzago san martino,brescia,017046,Brescia,17
cazzano sant andrea,bergamo,016067,Bergamo,16
cecima,pavia,018042,Pavia,18
cedegolo,brescia,017047,Brescia,17
cedrasco,sondrio,014016,Sondrio,14
cella dati,cremona,019028,Cremona,19
cellatica,brescia,017048,Brescia,17
cenate sopra,bergamo,016068,Bergamo,16
cenate sotto,bergamo,016069,Bergamo,16
cene,bergamo,016070,Bergamo,16
centro valle intelvi,como,013254,Como,13
cerano d intelvi,como,013063,Como,13
ceranova,pavia,018043,Pavia,18
cercino,sondrio,014017,Sondrio,14
ceresara,mantova,020019,Mantova,20
cerete,bergamo,016071,Bergamo,16
ceretto lomellina,pavia,018044,Pavia,18
cergnago,pavia,018045,Pavia,18
ceriano laghetto,monza e brianza,108018,Monza e Brianza,108
cermenate,como,013064,Como,13
cernobbio,como,013065,Como,13
cernusco lombardone,lecco,097020,Lecco,97
cernusco sul naviglio,milano,015070,Milano,215
cerro al lambro,milano,015071,Milano,215
cerro maggiore,milano,015072,Milano,215
certosa di pavia,pavia,018046,Pavia,18
cerveno,brescia,017049,Brescia,17
cervesina,pavia,018047,Pavia,18
cervignano d adda,lodi,098018,Lodi,98
cesana brianza,lecco,097021,Lecco,97
cesano boscone,milano,015074,Milano,215
cesano maderno,monza e brianza,108019,Monza e Brianza,108
cesate,milano,015076,Milano,215
ceto,brescia,017050,Brescia,17
cevo,brescia,017051,Brescia,17
chiari,brescia,017052,Brescia,17
chiavenna,sondrio,014018,Sondrio,14
chiesa in valmalenco,sondrio,014019,Sondrio,14
chieve,cremona,019029,Cremona,19
chignolo d isola,bergamo,016072,Bergamo,16
chignolo po,pavia,018048,Pavia,18
chiuduno,bergamo,016073,Bergamo,16
chiuro,sondrio,014020,Sondrio,14
cicognolo,cremona,019030,Cremona,19
cigognola,pavia,018049,Pavia,18
cigole,brescia,017053,Brescia,17
cilavegna,pavia,018050,Pavia,18
cimbergo,brescia,017054,Brescia,17
cingia de botti,cremona,019031,Cremona,19
cinisello balsamo,milano,015077,Milano,215
cino,sondrio,014021,Sondrio,14
cirimido,como,013068,Como,13
cisano bergamasco,bergamo,016074,Bergamo,16
ciserano,bergamo,016075,Bergamo,16
cislago,varese,012050,Varese,12
cisliano,milano,015078,Milano,215
cittiglio,varese,012051,Varese,12
civate,lecco,097022,Lecco,97
cividate al piano,bergamo,016076,Bergamo,16
cividate camuno,brescia,017055,Brescia,17
civo,sondrio,014022,Sondrio,14
claino con osteno,como,013071,Como,13
clivio,varese,012052,Varese,12
clusone,bergamo,016077,Bergamo,16
coccaglio,brescia,017056,Brescia,17
cocquio trevisago,varese,012053,Varese,12
codevilla,pavia,018051,Pavia,18
codogno,lodi,098019,Lodi,98
cogliate,monza e brianza,108020,Monza e Brianza,108
colere,bergamo,016078,Bergamo,16
colico,lecco,097023,Lecco,97
colle brianza,lecco,097024,Lecco,97
collebeato,brescia,017057,Brescia,17
colli verdi,pavia,018193,Pavia,18
collio,brescia,017058,Brescia,17
cologne,brescia,017059,Brescia,17
cologno al serio,bergamo,016079,Bergamo,16
cologno monzese,milano,015081,Milano,215
colonno,como,013074,Como,13
colorina,sondrio,014023,Sondrio,14
colturano,milano,015082,Milano,215
colverde,como,013251,Como,13
colzate,bergamo,016080,Bergamo,16
comabbio,varese,012054,Varese,12
comazzo,lodi,098020,Lodi,98
comerio,varese,012055,Varese,12
comezzano cizzago,brescia,017060,Brescia,17
commessaggio,mantova,020020,Mantova,20
como,como,013075,Como,13
comun nuovo,bergamo,016081,Bergamo,16
concesio,brescia,017061,Brescia,17
concorezzo,monza e brianza,108021,Monza e Brianza,108
confienza,pavia,018052,Pavia,18
copiano,pavia,018053,Pavia,18
corana,pavia,018054,Pavia,18
corbetta,milano,015085,Milano,215
cormano,milano,015086,Milano,215
corna imagna,bergamo,016082,Bergamo,16
cornalba,bergamo,016249,Bergamo,16
cornale e bastida,pavia,018191,Pavia,18
cornaredo,milano,015087,Milano,215
cornate d adda,monza e brianza,108053,Monza e Brianza,108
cornegliano laudense,lodi,098021,Lodi,98
corno giovine,lodi,098022,Lodi,98
cornovecchio,lodi,098023,Lodi,98
