election_key,election_year,election_date,municipality_id,municipality_name,province,region,geometry_id,territorial_mode,territorial_status,turnout_pct,electors,voters,valid_votes,total_votes,first_party_std,first_party_share,second_party_std,second_party_share,first_second_margin,dominant_block,comparability_note,completeness_flag
assemblea_costituente_1946,1946,1946-06-02,016037,Brembate,Bergamo,Lombardia,016037,historical,observed_opendata_zip,95.11533242876527,2211.0,2103.0,1978,2103,DC,59.150657229524775,Psiup,18.958543983822043,40.19211324570273,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016039,Brembilla,Bergamo,Lombardia,016039,historical,observed_opendata_zip,65.56642216788916,2454.0,1609.0,1386,1609,DC,61.18326118326118,Psiup,14.357864357864358,46.82539682539682,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016040,Brignano Gera d'Adda,Bergamo,Lombardia,016040,historical,observed_opendata_zip,93.49794238683128,2430.0,2272.0,2083,2272,DC,53.000480076812295,Psiup,21.55544887181949,31.445031204992805,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016041,Brumano,Bergamo,Lombardia,016041,historical,observed_opendata_zip,80.59701492537313,134.0,108.0,105,108,DC,79.04761904761905,Psiup,12.380952380952381,66.66666666666667,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016043,Calcinate,Bergamo,Lombardia,016043,historical,observed_opendata_zip,94.5565749235474,1635.0,1546.0,1408,1546,DC,66.40625,Psiup,17.1875,49.21875,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016044,Calcio,Bergamo,Lombardia,016044,historical,observed_opendata_zip,93.28516787080324,2353.0,2195.0,2007,2195,DC,59.44195316392625,PCI,15.994020926756352,43.447932237169894,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,097013,Calolziocorte,Bergamo,Lombardia,097013,historical,observed_opendata_zip,86.63414634146342,5125.0,4440.0,4123,4440,DC,48.217317487266556,Psiup,27.771040504487026,20.44627698277953,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016046,Calusco d'Adda,Bergamo,Lombardia,016046,historical,observed_opendata_zip,92.54385964912281,2052.0,1899.0,1727,1899,DC,43.0804863925883,Psiup,31.615518239722064,11.464968152866234,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016047,Calvenzano,Bergamo,Lombardia,016047,historical,observed_opendata_zip,96.50655021834062,1374.0,1326.0,1184,1326,DC,55.57432432432432,Psiup,24.91554054054054,30.658783783783782,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016048,Camerata Cornello,Bergamo,Lombardia,016048,historical,observed_opendata_zip,83.49705304518665,509.0,425.0,367,425,DC,61.58038147138964,Psiup,14.441416893732969,47.13896457765667,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
