election_key,election_year,election_date,municipality_id,municipality_name,province,region,party_raw,party_std,party_family,bloc,votes,vote_share,rank,territorial_mode,territorial_status,geometry_id,comparability_note
assemblea_costituente_1946,1946,1946-06-02,016006,Almenno San Bartolomeo,Bergamo,Lombardia,Un.Democ.Nazionale,Un.Democ.Nazionale,altro,altro,64,3.878787878787879,5.0,historical,observed_opendata_zip,016006,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016006,Almenno San Bartolomeo,Bergamo,Lombardia,Fr.Uomo Qualunque,Fr.Uomo Qualunque,altro,altro,30,1.8181818181818181,8.0,historical,observed_opendata_zip,016006,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016006,Almenno San Bartolomeo,Bergamo,Lombardia,Partito d'Azione,Azione / IV,liberale-riformista,centro,73,4.424242424242424,4.0,historical,observed_opendata_zip,016006,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016006,Almenno San Bartolomeo,Bergamo,Lombardia,Blocco Naz.Liberta',Blocco Naz.Liberta',altro,altro,40,2.4242424242424243,6.0,historical,observed_opendata_zip,016006,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016006,Almenno San Bartolomeo,Bergamo,Lombardia,Pri,Pri,altro,altro,37,2.242424242424242,7.0,historical,observed_opendata_zip,016006,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016007,Almenno San Salvatore,Bergamo,Lombardia,Dc,DC,cattolico-popolare,centro,1017,64.00251730648206,1.0,historical,observed_opendata_zip,016007,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016007,Almenno San Salvatore,Bergamo,Lombardia,Psiup,Psiup,altro,altro,315,19.823788546255507,2.0,historical,observed_opendata_zip,016007,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016007,Almenno San Salvatore,Bergamo,Lombardia,Pci,PCI,sinistra storica,sinistra,60,3.775959723096287,4.0,historical,observed_opendata_zip,016007,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016007,Almenno San Salvatore,Bergamo,Lombardia,Un.Democ.Nazionale,Un.Democ.Nazionale,altro,altro,67,4.2164883574575205,3.0,historical,observed_opendata_zip,016007,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016007,Almenno San Salvatore,Bergamo,Lombardia,Fr.Uomo Qualunque,Fr.Uomo Qualunque,altro,altro,19,1.195720578980491,8.0,historical,observed_opendata_zip,016007,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016007,Almenno San Salvatore,Bergamo,Lombardia,Partito d'Azione,Azione / IV,liberale-riformista,centro,53,3.335431088735054,5.0,historical,observed_opendata_zip,016007,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016007,Almenno San Salvatore,Bergamo,Lombardia,Blocco Naz.Liberta',Blocco Naz.Liberta',altro,altro,31,1.9509125235997484,6.0,historical,observed_opendata_zip,016007,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016007,Almenno San Salvatore,Bergamo,Lombardia,Pri,Pri,altro,altro,27,1.6991818753933292,7.0,historical,observed_opendata_zip,016007,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016008,Alzano Lombardo,Bergamo,Lombardia,Dc,DC,cattolico-popolare,centro,2635,54.229265280922,1.0,historical,observed_opendata_zip,016008,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016008,Alzano Lombardo,Bergamo,Lombardia,Psiup,Psiup,altro,altro,1173,24.140769705700762,2.0,historical,observed_opendata_zip,016008,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016008,Alzano Lombardo,Bergamo,Lombardia,Pci,PCI,sinistra storica,sinistra,478,9.837415105988887,3.0,historical,observed_opendata_zip,016008,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016008,Alzano Lombardo,Bergamo,Lombardia,Un.Democ.Nazionale,Un.Democ.Nazionale,altro,altro,111,2.2844206626877956,6.0,historical,observed_opendata_zip,016008,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016008,Alzano Lombardo,Bergamo,Lombardia,Fr.Uomo Qualunque,Fr.Uomo Qualunque,altro,altro,137,2.8195101872813337,5.0,historical,observed_opendata_zip,016008,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016008,Alzano Lombardo,Bergamo,Lombardia,Partito d'Azione,Azione / IV,liberale-riformista,centro,145,2.984153117925499,4.0,historical,observed_opendata_zip,016008,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016008,Alzano Lombardo,Bergamo,Lombardia,Blocco Naz.Liberta',Blocco Naz.Liberta',altro,altro,91,1.8728133360773822,7.0,historical,observed_opendata_zip,016008,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016008,Alzano Lombardo,Bergamo,Lombardia,Pri,Pri,altro,altro,89,1.8316526034163407,8.0,historical,observed_opendata_zip,016008,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016009,Ambivere,Bergamo,Lombardia,Dc,DC,cattolico-popolare,centro,350,69.1699604743083,1.0,historical,observed_opendata_zip,016009,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016009,Ambivere,Bergamo,Lombardia,Psiup,Psiup,altro,altro,75,14.82213438735178,2.0,historical,observed_opendata_zip,016009,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016009,Ambivere,Bergamo,Lombardia,Pci,PCI,sinistra storica,sinistra,16,3.1620553359683794,5.0,historical,observed_opendata_zip,016009,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016009,Ambivere,Bergamo,Lombardia,Un.Democ.Nazionale,Un.Democ.Nazionale,altro,altro,25,4.940711462450593,3.0,historical,observed_opendata_zip,016009,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
