election_key,election_year,election_date,municipality_id,municipality_name,province,region,party_raw,party_std,party_family,bloc,votes,vote_share,rank,territorial_mode,territorial_status,geometry_id,comparability_note
europee_1984,1984,1984-06-17,001004,Albiano d'Ivrea,Torino,Piemonte,DC,DC,cattolico-popolare,centro,311,29.534662867996204,2.0,harmonized,projected_to_2021_geometry,001004,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001004,Albiano d'Ivrea,Torino,Piemonte,PLI-PRI,PLI,liberale,centro-destra,81,7.6923076923076925,3.0,harmonized,projected_to_2021_geometry,001004,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001004,Albiano d'Ivrea,Torino,Piemonte,PSI,PSI,sinistra socialista,centro-sinistra,74,7.027540360873694,4.0,harmonized,projected_to_2021_geometry,001004,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001004,Albiano d'Ivrea,Torino,Piemonte,MSI-DN,Destra naz.,destra nazionale,destra,41,3.89363722697056,5.0,harmonized,projected_to_2021_geometry,001004,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001004,Albiano d'Ivrea,Torino,Piemonte,PSDI,PSDI,socialdemocratico,centro-sinistra,40,3.798670465337132,6.0,harmonized,projected_to_2021_geometry,001004,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001004,Albiano d'Ivrea,Torino,Piemonte,P.RAD,Radicali,radicale,liberale,33,3.133903133903134,7.0,harmonized,projected_to_2021_geometry,001004,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001004,Albiano d'Ivrea,Torino,Piemonte,DEM.PROL,PDUP / DemProl,sinistra storica,sinistra,11,1.0446343779677114,8.0,harmonized,projected_to_2021_geometry,001004,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001004,Albiano d'Ivrea,Torino,Piemonte,LIGA VENETA,Liga Veneta,regionalista,regionalista,4,0.3798670465337132,9.0,harmonized,projected_to_2021_geometry,001004,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed|party_taxonomy_exact
europee_1984,1984,1984-06-17,001006,Almese,Torino,Piemonte,DC,DC,cattolico-popolare,centro,896,32.31157591056618,1.0,harmonized,projected_to_2021_geometry,001006,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001006,Almese,Torino,Piemonte,PCI,PCI,sinistra storica,sinistra,758,27.335016227912007,2.0,harmonized,projected_to_2021_geometry,001006,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001006,Almese,Torino,Piemonte,PLI-PRI,PLI,liberale,centro-destra,330,11.900468806346916,3.0,harmonized,projected_to_2021_geometry,001006,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001006,Almese,Torino,Piemonte,PSI,PSI,sinistra socialista,centro-sinistra,272,9.808871258564732,4.0,harmonized,projected_to_2021_geometry,001006,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001006,Almese,Torino,Piemonte,P.RAD,Radicali,radicale,liberale,188,6.779661016949152,5.0,harmonized,projected_to_2021_geometry,001006,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001006,Almese,Torino,Piemonte,MSI-DN,Destra naz.,destra nazionale,destra,133,4.796249549224666,6.0,harmonized,projected_to_2021_geometry,001006,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001006,Almese,Torino,Piemonte,PSDI,PSDI,socialdemocratico,centro-sinistra,119,4.29138117562207,7.0,harmonized,projected_to_2021_geometry,001006,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001006,Almese,Torino,Piemonte,DEM.PROL,PDUP / DemProl,sinistra storica,sinistra,53,1.9112874143526866,8.0,harmonized,projected_to_2021_geometry,001006,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001006,Almese,Torino,Piemonte,LIGA VENETA,Liga Veneta,regionalista,regionalista,21,0.7573025604038947,9.0,harmonized,projected_to_2021_geometry,001006,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed|party_taxonomy_exact
europee_1984,1984,1984-06-17,001006,Almese,Torino,Piemonte,UV-PS.D'AZ.,UV - PSd'Az,regionalista,regionalista,3,0.10818608005769925,10.0,harmonized,projected_to_2021_geometry,001006,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed|party_taxonomy_exact
europee_1984,1984,1984-06-17,001007,Alpette,Torino,Piemonte,DC,DC,cattolico-popolare,centro,111,43.02325581395349,1.0,harmonized,projected_to_2021_geometry,001007,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001007,Alpette,Torino,Piemonte,PCI,PCI,sinistra storica,sinistra,97,37.5968992248062,2.0,harmonized,projected_to_2021_geometry,001007,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001007,Alpette,Torino,Piemonte,PLI-PRI,PLI,liberale,centro-destra,12,4.651162790697675,3.0,harmonized,projected_to_2021_geometry,001007,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001007,Alpette,Torino,Piemonte,PSI,PSI,sinistra socialista,centro-sinistra,10,3.875968992248062,4.0,harmonized,projected_to_2021_geometry,001007,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001007,Alpette,Torino,Piemonte,P.RAD,Radicali,radicale,liberale,8,3.10077519379845,5.0,harmonized,projected_to_2021_geometry,001007,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001007,Alpette,Torino,Piemonte,MSI-DN,Destra naz.,destra nazionale,destra,7,2.7131782945736433,6.0,harmonized,projected_to_2021_geometry,001007,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001007,Alpette,Torino,Piemonte,DEM.PROL,PDUP / DemProl,sinistra storica,sinistra,6,2.3255813953488373,7.0,harmonized,projected_to_2021_geometry,001007,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001007,Alpette,Torino,Piemonte,PSDI,PSDI,socialdemocratico,centro-sinistra,5,1.937984496124031,8.0,harmonized,projected_to_2021_geometry,001007,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001007,Alpette,Torino,Piemonte,LIGA VENETA,Liga Veneta,regionalista,regionalista,2,0.7751937984496124,9.0,harmonized,projected_to_2021_geometry,001007,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed|party_taxonomy_exact
europee_1984,1984,1984-06-17,001008,Alpignano,Torino,Piemonte,PCI,PCI,sinistra storica,sinistra,4081,46.01420678768745,1.0,harmonized,projected_to_2021_geometry,001008,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001008,Alpignano,Torino,Piemonte,DC,DC,cattolico-popolare,centro,1586,17.882512120870448,2.0,harmonized,projected_to_2021_geometry,001008,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001008,Alpignano,Torino,Piemonte,PSI,PSI,sinistra socialista,centro-sinistra,931,10.497237569060774,3.0,harmonized,projected_to_2021_geometry,001008,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
